[1063, 374;
  1249, 519;
  1258, 519;
  1071, 520;
  124, 521;
  620, 521;
  1066, 521;
  1083, 521;
  676, 522;
  1064, 522;
  612, 523;
  1056, 523;
  1161, 523;
  1268, 523;
  639, 524;
  1079, 524;
  1261, 524;
  675, 525;
  1065, 525;
  1073, 525;
  1160, 525;
  1136, 526;
  1226, 526;
  587, 527;
  1010, 527;
  1084, 528;
  1255, 528;
  1264, 528;
  673, 529;
  1067, 529;
  589, 530;
  600, 530;
  676, 530;
  1011, 530;
  1063, 530;
  1075, 530;
  554, 531;
  1106, 531;
  1137, 531;
  1224, 531;
  1070, 532;
  172, 533;
  584, 533;
  603, 533;
  1080, 533;
  1130, 533;
  1134, 533;
  581, 534;
  594, 534;
  673, 534;
  1066, 534;
  1077, 534;
  1084, 534;
  616, 535;
  1062, 535;
  1130, 535;
  1147, 536;
  605, 537;
  669, 537;
  1066, 537;
  1074, 537;
  1081, 537;
  1103, 537;
  550, 538;
  579, 538;
  1059, 538;
  1069, 538;
  590, 539;
  600, 539;
  676, 539;
  1006, 539;
  1224, 539;
  646, 540;
  640, 541;
  1049, 541;
  1080, 541;
  1122, 541;
  1219, 541;
  1249, 541;
  554, 542;
  675, 542;
  1066, 542;
  1124, 542;
  1135, 542;
  585, 543;
  663, 543;
  1071, 543;
  1085, 543;
  514, 544;
  558, 544;
  1006, 544;
  1153, 544;
  1228, 544;
  648, 545;
  651, 545;
  671, 545;
  1055, 545;
  1077, 545;
  508, 546;
  543, 546;
  578, 546;
  603, 546;
  1049, 546;
  666, 547;
  1072, 547;
  537, 548;
  548, 548;
  639, 548;
  674, 548;
  1147, 548;
  509, 549;
  562, 549;
  595, 549;
  635, 549;
  662, 549;
  670, 549;
  1053, 549;
  1091, 549;
  554, 550;
  610, 550;
  1068, 550;
  1085, 550;
  535, 551;
  547, 551;
  621, 551;
  623, 551;
  639, 551;
  1057, 551;
  1154, 551;
  170, 552;
  523, 552;
  1071, 552;
  1087, 552;
  511, 553;
  515, 553;
  593, 553;
  598, 553;
  685, 553;
  885, 553;
  1073, 553;
  1095, 553;
  1136, 553;
  574, 554;
  583, 554;
  662, 554;
  1068, 554;
  1077, 554;
  472, 555;
  608, 555;
  665, 555;
  1102, 555;
  1219, 555;
  476, 556;
  545, 556;
  642, 556;
  919, 556;
  1082, 556;
  1085, 556;
  1156, 556;
  493, 557;
  550, 557;
  576, 557;
  917, 557;
  977, 557;
  1218, 557;
  490, 558;
  563, 558;
  569, 558;
  620, 558;
  932, 558;
  986, 558;
  1053, 558;
  1068, 558;
  1071, 558;
  1119, 558;
  556, 559;
  939, 559;
  1082, 559;
  1096, 559;
  1125, 559;
  627, 560;
  947, 560;
  1062, 560;
  1087, 560;
  1142, 560;
  168, 561;
  448, 561;
  495, 561;
  671, 561;
  1074, 561;
  1080, 561;
  534, 562;
  590, 562;
  623, 562;
  676, 562;
  989, 562;
  1065, 562;
  1069, 562;
  1095, 562;
  1136, 562;
  1160, 562;
  1217, 562;
  521, 563;
  523, 563;
  529, 563;
  573, 563;
  1014, 563;
  1084, 563;
  1102, 563;
  438, 564;
  553, 564;
  561, 564;
  1057, 564;
  1131, 564;
  537, 565;
  993, 565;
  1062, 565;
  1151, 565;
  1217, 565;
  525, 566;
  577, 566;
  664, 566;
  1066, 566;
  1070, 566;
  1111, 566;
  1144, 566;
  440, 567;
  589, 567;
  632, 567;
  997, 567;
  1046, 567;
  1090, 567;
  495, 568;
  534, 568;
  1018, 568;
  1220, 568;
  444, 569;
  528, 569;
  540, 569;
  661, 569;
  944, 569;
  440, 570;
  600, 570;
  1057, 570;
  1080, 570;
  1109, 570;
  1116, 570;
  1142, 570;
  505, 571;
  566, 571;
  588, 571;
  596, 571;
  641, 571;
  975, 571;
  1010, 571;
  1020, 571;
  1076, 571;
  416, 572;
  436, 572;
  452, 572;
  533, 572;
  675, 572;
  680, 572;
  945, 572;
  961, 572;
  1049, 572;
  1083, 572;
  1022, 573;
  1122, 573;
  468, 574;
  500, 574;
  557, 574;
  575, 574;
  638, 574;
  676, 574;
  1019, 574;
  1044, 574;
  412, 575;
  434, 575;
  461, 575;
  529, 575;
  577, 575;
  584, 575;
  598, 575;
  604, 575;
  609, 575;
  1055, 575;
  1070, 575;
  416, 576;
  456, 576;
  534, 576;
  564, 576;
  571, 576;
  589, 576;
  641, 576;
  644, 576;
  1041, 576;
  1057, 576;
  1077, 576;
  593, 577;
  944, 577;
  1051, 577;
  1059, 577;
  1065, 577;
  1083, 577;
  425, 578;
  499, 578;
  1046, 578;
  1061, 578;
  592, 579;
  1036, 579;
  465, 580;
  534, 580;
  556, 580;
  575, 580;
  596, 580;
  599, 580;
  603, 580;
  666, 580;
  1078, 580;
  1082, 580;
  641, 581;
  937, 581;
  1086, 581;
  1138, 581;
  542, 582;
  587, 582;
  591, 582;
  648, 582;
  1067, 582;
  1076, 582;
  1092, 582;
  474, 583;
  564, 583;
  665, 583;
  1061, 583;
  434, 584;
  499, 584;
  567, 584;
  1046, 584;
  1073, 584;
  561, 585;
  587, 585;
  649, 585;
  1079, 585;
  578, 586;
  584, 586;
  635, 586;
  1071, 586;
  1104, 586;
  441, 587;
  527, 587;
  954, 587;
  1053, 587;
  1064, 587;
  1068, 587;
  1086, 587;
  593, 588;
  613, 588;
  943, 588;
  1058, 588;
  435, 589;
  506, 589;
  644, 589;
  658, 589;
  1082, 589;
  447, 590;
  566, 590;
  990, 590;
  1022, 590;
  1074, 590;
  1090, 590;
  1095, 590;
  1232, 590;
  430, 591;
  501, 591;
  529, 591;
  552, 591;
  579, 591;
  1085, 591;
  535, 592;
  652, 592;
  380, 593;
  420, 593;
  467, 593;
  561, 593;
  583, 593;
  678, 593;
  962, 593;
  980, 593;
  1066, 593;
  1081, 593;
  376, 594;
  416, 594;
  435, 594;
  483, 594;
  610, 594;
  614, 594;
  674, 594;
  937, 594;
  1024, 594;
  1074, 594;
  1091, 594;
  499, 595;
  520, 595;
  524, 595;
  1016, 595;
  1078, 595;
  485, 596;
  564, 596;
  642, 596;
  670, 596;
  1274, 596;
  405, 597;
  414, 597;
  491, 597;
  497, 597;
  504, 597;
  531, 597;
  535, 597;
  644, 597;
  1095, 597;
  608, 598;
  680, 598;
  959, 598;
  410, 599;
  674, 599;
  685, 599;
  1075, 599;
  1084, 599;
  1105, 599;
  1160, 599;
  398, 600;
  495, 600;
  637, 600;
  972, 600;
  1088, 600;
  1115, 600;
  374, 601;
  436, 601;
  567, 601;
  616, 601;
  401, 602;
  454, 602;
  504, 602;
  1121, 602;
  377, 603;
  393, 603;
  528, 603;
  610, 603;
  691, 603;
  1082, 603;
  384, 604;
  531, 604;
  550, 604;
  995, 604;
  1022, 604;
  1087, 604;
  1097, 604;
  1109, 604;
  1118, 604;
  1122, 604;
  620, 605;
  654, 605;
  671, 605;
  971, 605;
  1004, 605;
  1231, 605;
  543, 606;
  639, 606;
  649, 606;
  1031, 606;
  1080, 606;
  1253, 606;
  366, 607;
  532, 607;
  361, 608;
  558, 608;
  683, 608;
  1009, 608;
  380, 609;
  389, 609;
  601, 609;
  623, 609;
  633, 609;
  643, 609;
  659, 609;
  670, 609;
  677, 609;
  548, 610;
  1013, 610;
  659, 611;
  969, 611;
  1096, 611;
  1233, 611;
  387, 612;
  484, 612;
  598, 612;
  622, 612;
  654, 612;
  688, 612;
  871, 612;
  945, 612;
  1044, 612;
  1047, 612;
  1118, 612;
  624, 613;
  683, 613;
  1162, 613;
  447, 614;
  506, 614;
  511, 614;
  693, 614;
  943, 614;
  1087, 614;
  1103, 614;
  463, 615;
  605, 615;
  658, 615;
  975, 615;
  1015, 615;
  361, 616;
  395, 616;
  412, 616;
  418, 616;
  531, 616;
  623, 616;
  678, 616;
  1042, 616;
  1044, 616;
  1088, 616;
  1118, 616;
  386, 617;
  410, 617;
  512, 617;
  612, 617;
  1049, 617;
  1078, 617;
  1108, 617;
  1116, 617;
  1161, 617;
  438, 618;
  641, 618;
  674, 618;
  686, 618;
  693, 618;
  413, 619;
  528, 619;
  536, 619;
  593, 619;
  964, 619;
  1019, 619;
  358, 620;
  398, 620;
  628, 620;
  1163, 620;
  365, 621;
  970, 621;
  972, 621;
  1237, 621;
  376, 622;
  441, 622;
  451, 622;
  511, 622;
  670, 622;
  963, 622;
  394, 623;
  469, 623;
  1005, 623;
  443, 624;
  464, 624;
  502, 624;
  538, 624;
  930, 624;
  360, 625;
  645, 625;
  440, 626;
  599, 626;
  629, 626;
  1055, 626;
  456, 627;
  461, 627;
  467, 627;
  642, 627;
  647, 627;
  1018, 627;
  1048, 627;
  1053, 627;
  444, 628;
  501, 628;
  546, 628;
  1009, 628;
  1044, 628;
  442, 629;
  923, 629;
  931, 629;
  941, 629;
  1115, 629;
  466, 630;
  628, 630;
  681, 630;
  345, 631;
  464, 631;
  637, 631;
  688, 631;
  911, 631;
  374, 632;
  381, 632;
  344, 633;
  456, 633;
  506, 633;
  592, 633;
  967, 633;
  1045, 633;
  1078, 633;
  1085, 633;
  342, 634;
  499, 634;
  559, 634;
  629, 634;
  909, 634;
  1096, 634;
  1125, 634;
  1165, 634;
  378, 635;
  690, 635;
  945, 635;
  565, 636;
  641, 636;
  679, 636;
  683, 636;
  1042, 636;
  509, 637;
  656, 637;
  943, 638;
  582, 639;
  586, 639;
  626, 639;
  640, 639;
  911, 639;
  354, 640;
  383, 640;
  692, 640;
  1168, 640;
  1171, 640;
  336, 641;
  676, 641;
  512, 642;
  664, 642;
  985, 642;
  1010, 642;
  1037, 642;
  508, 643;
  571, 643;
  576, 643;
  638, 643;
  656, 643;
  930, 643;
  1021, 643;
  401, 644;
  578, 644;
  613, 644;
  620, 644;
  674, 644;
  683, 644;
  341, 645;
  509, 645;
  623, 645;
  679, 645;
  721, 645;
  1168, 645;
  390, 646;
  663, 646;
  670, 646;
  723, 646;
  906, 646;
  1006, 646;
  436, 647;
  627, 647;
  942, 647;
  385, 648;
  444, 648;
  927, 648;
  333, 649;
  388, 649;
  520, 649;
  581, 649;
  592, 649;
  676, 649;
  705, 649;
  901, 649;
  961, 649;
  1008, 649;
  1115, 649;
  379, 650;
  397, 650;
  439, 650;
  608, 650;
  627, 650;
  647, 650;
  906, 650;
  931, 650;
  341, 651;
  392, 651;
  430, 651;
  966, 651;
  1054, 651;
  1084, 651;
  375, 652;
  482, 652;
  516, 652;
  577, 652;
  585, 652;
  593, 652;
  603, 652;
  668, 652;
  709, 652;
  714, 653;
  921, 653;
  343, 654;
  372, 654;
  387, 654;
  623, 654;
  736, 654;
  934, 654;
  967, 654;
  1099, 654;
  365, 655;
  658, 655;
  712, 655;
  1063, 655;
  1108, 655;
  401, 656;
  423, 656;
  546, 656;
  586, 656;
  605, 656;
  963, 656;
  977, 656;
  1010, 656;
  1058, 656;
  340, 657;
  376, 657;
  535, 657;
  541, 657;
  572, 657;
  659, 657;
  691, 657;
  700, 657;
  939, 657;
  1017, 657;
  518, 658;
  543, 658;
  558, 658;
  592, 658;
  618, 658;
  626, 658;
  686, 658;
  1080, 658;
  333, 659;
  514, 659;
  631, 659;
  636, 659;
  719, 659;
  727, 659;
  951, 659;
  1066, 659;
  397, 660;
  404, 660;
  456, 660;
  502, 660;
  508, 660;
  927, 660;
  974, 660;
  1086, 660;
  385, 661;
  510, 661;
  532, 661;
  682, 661;
  748, 661;
  914, 661;
  918, 661;
  967, 661;
  1073, 661;
  407, 662;
  412, 662;
  497, 662;
  540, 662;
  347, 663;
  558, 663;
  726, 663;
  885, 663;
  977, 663;
  992, 663;
  1116, 663;
  528, 664;
  640, 664;
  678, 664;
  689, 664;
  1071, 664;
  358, 665;
  366, 665;
  463, 665;
  501, 665;
  513, 665;
  540, 665;
  544, 665;
  603, 665;
  630, 665;
  771, 665;
  927, 665;
  952, 665;
  1065, 665;
  431, 666;
  484, 666;
  490, 666;
  495, 666;
  568, 666;
  612, 666;
  633, 666;
  643, 666;
  645, 666;
  1031, 666;
  1056, 666;
  401, 667;
  1068, 667;
  453, 668;
  467, 668;
  508, 668;
  533, 668;
  607, 668;
  636, 668;
  986, 668;
  433, 669;
  671, 669;
  678, 669;
  795, 669;
  1052, 669;
  1117, 669;
  313, 670;
  333, 670;
  364, 670;
  448, 670;
  481, 670;
  492, 670;
  610, 670;
  662, 670;
  1045, 670;
  1106, 670;
  408, 671;
  439, 671;
  444, 671;
  535, 671;
  564, 671;
  927, 671;
  1025, 671;
  1056, 671;
  235, 672;
  648, 672;
  696, 672;
  719, 672;
  1115, 672;
  239, 673;
  712, 673;
  1049, 673;
  1061, 673;
  1144, 673;
  559, 674;
  645, 674;
  699, 674;
  893, 674;
  1136, 674;
  430, 675;
  443, 675;
  481, 675;
  613, 675;
  670, 675;
  1044, 675;
  1050, 675;
  434, 676;
  439, 676;
  551, 676;
  578, 676;
  608, 676;
  716, 676;
  962, 676;
  1066, 676;
  451, 677;
  466, 677;
  582, 677;
  592, 677;
  968, 677;
  391, 678;
  479, 678;
  548, 678;
  622, 678;
  707, 678;
  713, 678;
  877, 678;
  1132, 678;
  484, 679;
  615, 679;
  704, 679;
  948, 679;
  984, 679;
  1069, 679;
  322, 680;
  343, 680;
  387, 680;
  486, 680;
  627, 680;
  656, 680;
  667, 680;
  681, 680;
  962, 680;
  966, 680;
  1053, 680;
  1081, 680;
  483, 681;
  560, 681;
  572, 681;
  594, 681;
  706, 681;
  750, 681;
  892, 681;
  988, 681;
  1055, 681;
  373, 682;
  466, 682;
  520, 682;
  565, 682;
  687, 682;
  735, 682;
  923, 682;
  999, 682;
  1134, 682;
  1154, 682;
  307, 683;
  327, 683;
  356, 683;
  545, 683;
  556, 683;
  671, 683;
  733, 683;
  945, 683;
  322, 684;
  354, 684;
  380, 684;
  487, 684;
  504, 684;
  719, 684;
  975, 684;
  983, 684;
  1084, 684;
  301, 685;
  312, 685;
  341, 685;
  469, 685;
  628, 685;
  657, 685;
  675, 685;
  685, 685;
  722, 685;
  901, 685;
  1068, 685;
  1096, 685;
  543, 686;
  625, 686;
  859, 686;
  1001, 686;
  1012, 686;
  1127, 686;
  613, 687;
  636, 687;
  661, 687;
  737, 687;
  877, 687;
  1042, 687;
  1090, 687;
  1136, 687;
  305, 688;
  378, 688;
  385, 688;
  475, 688;
  547, 688;
  640, 688;
  748, 688;
  924, 688;
  978, 688;
  357, 689;
  363, 689;
  616, 689;
  772, 689;
  915, 689;
  967, 689;
  1071, 689;
  315, 690;
  387, 690;
  470, 690;
  517, 690;
  756, 690;
  947, 690;
  996, 690;
  998, 690;
  1066, 690;
  1132, 690;
  480, 691;
  530, 691;
  534, 691;
  536, 691;
  728, 691;
  747, 691;
  1095, 691;
  295, 692;
  323, 692;
  362, 692;
  393, 692;
  433, 692;
  485, 692;
  584, 692;
  629, 692;
  776, 692;
  916, 692;
  920, 692;
  934, 692;
  1002, 692;
  1020, 692;
  1048, 692;
  1073, 692;
  1156, 692;
  352, 693;
  634, 693;
  683, 693;
  750, 693;
  993, 693;
  1088, 693;
  1138, 693;
  1179, 693;
  361, 694;
  441, 694;
  473, 694;
  538, 694;
  580, 694;
  668, 694;
  679, 694;
  762, 694;
  767, 694;
  880, 694;
  915, 694;
  964, 694;
  977, 694;
  1009, 694;
  1068, 694;
  303, 695;
  311, 695;
  521, 695;
  526, 695;
  633, 695;
  893, 695;
  1169, 695;
  323, 696;
  336, 696;
  393, 696;
  402, 696;
  423, 696;
  433, 696;
  477, 696;
  531, 696;
  741, 696;
  922, 696;
  936, 696;
  1062, 696;
  1172, 696;
  328, 697;
  399, 697;
  419, 697;
  427, 697;
  446, 697;
  758, 697;
  1067, 697;
  144, 698;
  304, 698;
  319, 698;
  337, 698;
  358, 698;
  862, 698;
  1050, 698;
  1172, 698;
  351, 699;
  452, 699;
  910, 699;
  143, 700;
  145, 700;
  309, 700;
  375, 700;
  546, 700;
  768, 700;
  864, 700;
  229, 701;
  324, 701;
  390, 701;
  402, 701;
  404, 701;
  407, 701;
  422, 701;
  579, 701;
  616, 701;
  625, 701;
  691, 701;
  941, 701;
  988, 701;
  1024, 701;
  1065, 701;
  1171, 701;
  298, 702;
  469, 702;
  653, 702;
  852, 702;
  409, 703;
  429, 703;
  451, 703;
  578, 703;
  616, 703;
  751, 703;
  844, 703;
  932, 703;
  1106, 703;
  1121, 703;
  1175, 703;
  49, 704;
  124, 704;
  317, 704;
  621, 704;
  656, 704;
  729, 704;
  744, 704;
  836, 704;
  916, 704;
  989, 704;
  1150, 704;
  276, 705;
  368, 705;
  398, 705;
  424, 705;
  458, 705;
  471, 705;
  581, 705;
  602, 705;
  637, 705;
  742, 705;
  985, 705;
  1082, 705;
  1110, 705;
  740, 706;
  793, 706;
  853, 706;
  945, 706;
  58, 707;
  133, 707;
  411, 707;
  431, 707;
  615, 707;
  646, 707;
  795, 707;
  842, 707;
  866, 707;
  1034, 707;
  89, 708;
  331, 708;
  406, 708;
  611, 708;
  807, 708;
  848, 708;
  964, 708;
  1080, 708;
  1105, 708;
  398, 709;
  572, 709;
  604, 709;
  637, 709;
  656, 709;
  668, 709;
  688, 709;
  749, 709;
  800, 709;
  1083, 709;
  1148, 709;
  31, 710;
  617, 710;
  693, 710;
  720, 710;
  726, 710;
  737, 710;
  742, 710;
  942, 710;
  1092, 710;
  1154, 710;
  1170, 710;
  664, 711;
  753, 711;
  805, 711;
  983, 711;
  1051, 711;
  1075, 711;
  403, 712;
  606, 712;
  613, 712;
  646, 712;
  657, 712;
  719, 712;
  732, 712;
  934, 712;
  1086, 712;
  569, 713;
  652, 713;
  804, 713;
  809, 713;
  858, 713;
  902, 713;
  948, 713;
  1040, 713;
  1095, 713;
  1111, 713;
  407, 714;
  689, 714;
  748, 714;
  1108, 714;
  386, 715;
  487, 715;
  584, 715;
  609, 715;
  659, 715;
  707, 715;
  716, 715;
  728, 715;
  733, 715;
  812, 715;
  880, 715;
  916, 715;
  976, 715;
  316, 716;
  654, 716;
  666, 716;
  702, 716;
  744, 716;
  758, 716;
  765, 716;
  802, 716;
  913, 716;
  948, 716;
  988, 716;
  1038, 716;
  1071, 716;
  1077, 716;
  1152, 716;
  1265, 11;
  1271, 49;
  1261, 57;
  1003, 95;
  1063, 153;
  1066, 154;
  689, 156;
  962, 160;
  933, 163;
  931, 164;
  1164, 165;
  932, 171;
  941, 171;
  933, 181;
  677, 182;
  759, 183;
  673, 186;
  669, 189;
  837, 192;
  1034, 193;
  814, 194;
  842, 200;
  1018, 204;
  816, 207;
  663, 215;
  1025, 219;
  1028, 219;
  661, 221;
  561, 222;
  603, 222;
  653, 223;
  779, 224;
  656, 227;
  613, 229;
  659, 233;
  583, 236;
  612, 236;
  641, 236;
  601, 239;
  657, 239;
  623, 243;
  935, 243;
  945, 246;
  949, 247;
  920, 248;
  657, 249;
  612, 250;
  659, 250;
  867, 251;
  560, 253;
  603, 253;
  653, 253;
  899, 254;
  924, 255;
  762, 256;
  942, 256;
  919, 257;
  759, 261;
  964, 261;
  930, 262;
  973, 263;
  753, 270;
  969, 271;
  653, 272;
  655, 272;
  943, 273;
  652, 274;
  749, 276;
  1120, 276;
  753, 277;
  935, 283;
  932, 286;
  910, 287;
  934, 287;
  956, 287;
  698, 288;
  905, 288;
  700, 289;
  735, 289;
  721, 290;
  945, 290;
  1030, 290;
  887, 291;
  932, 291;
  1021, 291;
  730, 293;
  1044, 293;
  704, 294;
  912, 294;
  934, 294;
  940, 294;
  905, 295;
  907, 295;
  1045, 295;
  743, 296;
  928, 296;
  912, 298;
  933, 298;
  925, 299;
  765, 300;
  942, 300;
  687, 301;
  768, 301;
  939, 301;
  1029, 301;
  1031, 301;
  947, 302;
  954, 302;
  1043, 302;
  932, 303;
  956, 304;
  676, 306;
  691, 306;
  698, 306;
  768, 306;
  957, 306;
  932, 307;
  758, 308;
  768, 308;
  773, 308;
  953, 308;
  1041, 308;
  775, 309;
  690, 310;
  701, 310;
  761, 310;
  755, 312;
  1011, 312;
  1036, 312;
  1017, 314;
  752, 315;
  693, 316;
  705, 316;
  1039, 316;
  751, 317;
  1032, 319;
  1036, 319;
  1043, 320;
  1027, 321;
  708, 324;
  1023, 328;
  1028, 328;
  708, 329;
  47, 330;
  702, 331;
  669, 335;
  1026, 335;
  708, 336;
  1031, 336;
  698, 337;
  723, 337;
  765, 338;
  1028, 338;
  712, 340;
  764, 340;
  685, 342;
  41, 346;
  691, 347;
  726, 347;
  1035, 350;
  774, 351;
  776, 351;
  704, 352;
  716, 352;
  772, 352;
  707, 355;
  1004, 359;
  1000, 361;
  1004, 362;
  734, 363;
  1006, 363;
  715, 366;
  795, 367;
  731, 369;
  1061, 369;
  795, 370;
  217, 372;
  1042, 373;
  1067, 373;
  1048, 374;
  544, 376;
  1068, 376;
  1030, 379;
  1068, 379;
  1039, 381;
  1068, 381;
  119, 382;
  1045, 382;
  554, 384;
  1063, 385;
  1067, 388;
  1052, 389;
  977, 394;
  1009, 395;
  146, 396;
  741, 397;
  1065, 397;
  991, 399;
  1052, 399;
  989, 400;
  1015, 400;
  673, 401;
  1005, 403;
  1023, 404;
  733, 405;
  1030, 406;
  1037, 411;
  1035, 413;
  1018, 414;
  1016, 416;
  538, 417;
  535, 418;
  540, 419;
  546, 420;
  532, 421;
  534, 422;
  540, 425;
  544, 427;
  1028, 427;
  528, 429;
  552, 429;
  151, 432;
  1032, 432;
  1051, 434;
  144, 435;
  152, 435;
  1033, 435;
  1017, 436;
  799, 437;
  1034, 438;
