[61, 39, 0, 0, 0, 3, 2, 3, 165, 63, 0, 0, 0, 0, 3, 19, 18, 3, 0, 0, 1, 2, 50, 53, 0, 1, 1, 0, 0, 1, 75, 78, 73, 6, 0, 0, 7, 14, 5, 8, 180, 17, 0, 0, 1, 1, 15, 135, 42, 2, 0, 0, 0, 0, 116, 161, 0, 0, 0, 0, 2, 6, 76, 51, 59, 8, 0, 2, 31, 6, 1, 7, 180, 57, 0, 1, 4, 1, 1, 19, 108, 21, 2, 1, 0, 0, 4, 16, 2, 2, 1, 1, 3, 3, 3, 3, 39, 1, 0, 0, 34, 17, 3, 7, 180, 15, 0, 0, 4, 1, 0, 14, 113, 6, 0, 0, 0, 0, 0, 12, 2, 0, 0, 3, 4, 1, 1, 4;
  48, 1, 0, 0, 1, 6, 9, 11, 195, 9, 0, 0, 0, 0, 0, 42, 132, 21, 0, 0, 0, 0, 0, 12, 2, 2, 2, 1, 0, 0, 0, 1, 76, 1, 1, 1, 13, 22, 4, 9, 195, 9, 0, 0, 0, 0, 0, 47, 139, 7, 1, 0, 0, 0, 0, 26, 3, 2, 3, 1, 0, 0, 0, 1, 65, 1, 0, 0, 36, 43, 4, 15, 195, 41, 0, 0, 0, 0, 1, 36, 144, 28, 0, 0, 0, 0, 1, 8, 2, 1, 1, 0, 0, 1, 3, 2, 48, 4, 0, 0, 54, 52, 1, 5, 195, 45, 0, 0, 1, 2, 0, 30, 124, 23, 0, 0, 0, 0, 0, 5, 3, 4, 1, 0, 0, 0, 0, 0;
  28, 1, 10, 92, 42, 0, 0, 36, 2, 66, 106, 61, 9, 0, 1, 1, 20, 130, 80, 2, 0, 0, 0, 3, 14, 29, 4, 1, 0, 2, 3, 3, 7, 0, 1, 41, 110, 70, 16, 9, 24, 25, 50, 74, 101, 116, 18, 4, 131, 101, 45, 11, 8, 12, 7, 69, 64, 17, 1, 0, 0, 2, 5, 48, 1, 0, 0, 0, 13, 71, 66, 11, 10, 1, 0, 1, 23, 131, 131, 22, 131, 6, 0, 0, 4, 53, 131, 131, 31, 1, 0, 0, 1, 5, 16, 45, 3, 0, 0, 0, 0, 2, 7, 27, 3, 0, 0, 0, 0, 22, 42, 28, 3, 0, 0, 11, 11, 9, 59, 41, 1, 2, 1, 5, 8, 8, 11, 4;
  6, 13, 15, 4, 0, 0, 0, 0, 7, 24, 50, 21, 0, 0, 0, 1, 13, 61, 39, 4, 0, 1, 11, 13, 1, 5, 17, 2, 0, 1, 20, 9, 1, 4, 48, 71, 49, 3, 0, 0, 16, 42, 137, 137, 21, 3, 1, 5, 137, 137, 101, 44, 1, 0, 0, 10, 35, 36, 25, 1, 0, 0, 0, 0, 0, 0, 8, 31, 137, 55, 0, 0, 28, 5, 20, 98, 107, 102, 62, 50, 137, 64, 6, 9, 1, 2, 21, 91, 60, 50, 20, 1, 0, 0, 0, 1, 4, 14, 15, 6, 54, 27, 12, 8, 2, 0, 2, 1, 34, 73, 112, 27, 60, 9, 12, 5, 0, 1, 67, 109, 32, 13, 37, 12, 0, 0, 5, 34;
  0, 35, 141, 1, 0, 10, 16, 2, 2, 45, 141, 0, 0, 4, 29, 13, 7, 51, 30, 2, 3, 33, 26, 4, 11, 3, 1, 1, 1, 17, 39, 20, 3, 48, 141, 2, 1, 12, 44, 7, 30, 109, 141, 4, 3, 12, 23, 14, 141, 141, 45, 0, 0, 3, 6, 19, 31, 6, 0, 0, 0, 4, 14, 14, 1, 1, 1, 0, 0, 51, 141, 8, 22, 5, 3, 1, 2, 49, 141, 65, 141, 15, 3, 0, 0, 3, 58, 141, 30, 9, 12, 0, 0, 0, 0, 11, 0, 3, 9, 0, 0, 12, 65, 0, 0, 1, 9, 2, 0, 8, 92, 15, 7, 10, 9, 0, 0, 1, 21, 29, 2, 10, 22, 1, 1, 2, 1, 2;
  12, 9, 5, 5, 1, 0, 0, 2, 8, 8, 37, 11, 1, 1, 1, 2, 0, 10, 40, 8, 14, 2, 0, 0, 3, 4, 6, 16, 50, 10, 2, 3, 9, 7, 7, 33, 34, 0, 0, 2, 7, 22, 149, 149, 79, 3, 0, 1, 120, 149, 149, 28, 7, 1, 0, 3, 34, 20, 7, 13, 34, 10, 2, 5, 9, 1, 0, 13, 118, 2, 0, 3, 20, 6, 12, 55, 149, 45, 6, 11, 149, 33, 11, 8, 16, 14, 6, 44, 81, 6, 1, 12, 49, 13, 2, 8, 7, 1, 0, 4, 103, 2, 0, 1, 20, 2, 1, 15, 149, 13, 2, 5, 149, 4, 1, 3, 11, 4, 2, 28, 55, 3, 1, 11, 26, 11, 2, 7;
  9, 5, 4, 6, 5, 6, 122, 35, 150, 2, 0, 0, 0, 0, 28, 150, 79, 0, 0, 6, 1, 0, 8, 59, 3, 3, 12, 23, 1, 0, 2, 7, 49, 37, 13, 28, 32, 2, 2, 3, 150, 57, 10, 1, 0, 0, 0, 38, 78, 13, 43, 62, 6, 0, 0, 12, 23, 15, 25, 60, 8, 0, 0, 1, 34, 47, 13, 8, 10, 1, 0, 3, 119, 150, 131, 1, 0, 0, 0, 2, 12, 61, 150, 41, 0, 0, 0, 0, 11, 93, 150, 19, 1, 0, 0, 0, 6, 61, 11, 0, 0, 0, 0, 0, 1, 46, 55, 0, 0, 0, 0, 0, 1, 31, 79, 0, 0, 0, 0, 0, 0, 28, 73, 1, 0, 0, 0, 0;
  16, 0, 0, 0, 0, 0, 3, 62, 17, 12, 18, 1, 0, 2, 32, 42, 14, 21, 32, 2, 7, 4, 49, 45, 2, 2, 2, 3, 112, 78, 22, 3, 64, 0, 0, 0, 0, 0, 1, 39, 139, 2, 0, 0, 0, 1, 116, 158, 11, 2, 0, 0, 0, 8, 158, 71, 0, 0, 0, 0, 13, 124, 158, 1, 81, 1, 0, 0, 0, 0, 0, 23, 158, 65, 0, 0, 0, 0, 10, 40, 47, 76, 11, 0, 0, 3, 66, 15, 0, 11, 4, 0, 5, 33, 57, 0, 59, 2, 0, 0, 0, 0, 0, 11, 158, 25, 0, 0, 0, 0, 5, 61, 34, 56, 12, 0, 0, 0, 26, 24, 12, 29, 3, 0, 0, 3, 5, 7;
  7, 7, 2, 21, 73, 0, 0, 0, 11, 0, 0, 24, 157, 1, 0, 3, 157, 3, 0, 3, 37, 1, 0, 41, 60, 1, 1, 5, 17, 2, 0, 11, 9, 12, 3, 45, 77, 0, 0, 0, 23, 5, 1, 80, 157, 0, 0, 1, 157, 30, 1, 12, 29, 0, 0, 5, 71, 11, 0, 8, 24, 1, 0, 1, 12, 12, 3, 37, 90, 0, 0, 0, 30, 1, 0, 41, 157, 1, 1, 5, 157, 8, 0, 3, 24, 1, 1, 21, 68, 9, 1, 7, 15, 1, 0, 1, 7, 15, 5, 31, 61, 0, 0, 0, 31, 0, 0, 28, 157, 0, 0, 2, 157, 11, 0, 1, 12, 0, 0, 9, 40, 11, 3, 5, 3, 0, 0, 0;
  1, 0, 0, 0, 60, 30, 2, 3, 33, 3, 0, 0, 153, 39, 0, 0, 153, 11, 0, 0, 9, 1, 0, 6, 47, 0, 0, 0, 10, 26, 6, 15, 11, 2, 0, 0, 70, 23, 1, 4, 32, 5, 0, 2, 153, 43, 0, 1, 153, 18, 0, 1, 20, 2, 0, 8, 95, 1, 0, 0, 10, 18, 3, 18, 27, 2, 0, 0, 46, 21, 1, 6, 23, 1, 0, 0, 153, 88, 0, 6, 153, 8, 0, 0, 29, 12, 0, 26, 111, 2, 0, 0, 4, 10, 3, 24, 21, 6, 0, 1, 28, 4, 1, 3, 12, 3, 0, 5, 153, 20, 0, 1, 153, 27, 0, 2, 41, 3, 0, 2, 120, 8, 0, 0, 2, 3, 1, 7;
