[466, 226;
 721, 24;
 760, 24;
 880, 24;
 1050, 24;
 1085, 24;
 1122, 24;
 1138, 24;
 1238, 24;
 1243, 24;
 1263, 24;
 28, 25;
 35, 25;
 74, 25;
 126, 25;
 132, 25;
 185, 25;
 462, 25;
 596, 25;
 656, 25;
 1071, 25;
 1157, 25;
 1273, 25;
 22, 26;
 223, 26;
 262, 26;
 432, 26;
 709, 26;
 873, 26;
 900, 26;
 977, 26;
 1086, 26;
 1101, 26;
 1189, 26;
 1223, 26;
 89, 27;
 101, 27;
 115, 27;
 174, 27;
 208, 27;
 476, 27;
 495, 27;
 592, 27;
 659, 27;
 839, 27;
 1206, 27;
 1261, 27;
 30, 28;
 131, 28;
 157, 28;
 189, 28;
 502, 28;
 543, 28;
 677, 28;
 680, 28;
 811, 28;
 882, 28;
 923, 28;
 996, 28;
 1001, 28;
 1035, 28;
 1053, 28;
 1114, 28;
 1127, 28;
 1202, 28;
 1271, 28;
 17, 29;
 24, 29;
 68, 29;
 193, 29;
 196, 29;
 213, 29;
 252, 29;
 333, 29;
 366, 29;
 493, 29;
 701, 29;
 734, 29;
 756, 29;
 781, 29;
 896, 29;
 941, 29;
 1010, 29;
 1064, 29;
 1072, 29;
 1220, 29;
 1227, 29;
 1268, 29;
 165, 30;
 181, 30;
 270, 30;
 354, 30;
 456, 30;
 705, 30;
 707, 30;
 807, 30;
 920, 30;
 1140, 30;
 1244, 30;
 1261, 30;
 13, 31;
 102, 31;
 126, 31;
 224, 31;
 228, 31;
 585, 31;
 834, 31;
 977, 31;
 984, 31;
 989, 31;
 1046, 31;
 1209, 31;
 1229, 31;
 1231, 31;
 29, 32;
 54, 32;
 65, 32;
 119, 32;
 148, 32;
 363, 32;
 395, 32;
 671, 32;
 797, 32;
 946, 32;
 1037, 32;
 1152, 32;
 1171, 32;
 39, 33;
 44, 33;
 172, 33;
 195, 33;
 229, 33;
 931, 33;
 1008, 33;
 1010, 33;
 1127, 33;
 1219, 33;
 1259, 33;
 90, 34;
 120, 34;
 329, 34;
 346, 34;
 628, 34;
 824, 34;
 906, 34;
 915, 34;
 975, 34;
 985, 34;
 996, 34;
 1018, 34;
 1110, 34;
 1233, 34;
 1244, 34;
 1274, 34;
 72, 35;
 199, 35;
 616, 35;
 762, 35;
 869, 35;
 961, 35;
 979, 35;
 1114, 35;
 1119, 35;
 1167, 35;
 1171, 35;
 1181, 35;
 1212, 35;
 8, 36;
 61, 36;
 131, 36;
 136, 36;
 184, 36;
 245, 36;
 301, 36;
 316, 36;
 406, 36;
 703, 36;
 819, 36;
 830, 36;
 864, 36;
 926, 36;
 950, 36;
 957, 36;
 1055, 36;
 1179, 36;
 1216, 36;
 1250, 36;
 22, 37;
 53, 37;
 96, 37;
 107, 37;
 188, 37;
 193, 37;
 253, 37;
 297, 37;
 642, 37;
 757, 37;
 880, 37;
 972, 37;
 1004, 37;
 1015, 37;
 1062, 37;
 1128, 37;
 1201, 37;
 1226, 37;
 5, 38;
 24, 38;
 40, 38;
 65, 38;
 211, 38;
 274, 38;
 310, 38;
 318, 38;
 390, 38;
 394, 38;
 541, 38;
 649, 38;
 1103, 38;
 1182, 38;
 1264, 38;
 1276, 38;
 81, 39;
 90, 39;
 133, 39;
 144, 39;
 147, 39;
 787, 39;
 810, 39;
 979, 39;
 989, 39;
 1064, 39;
 1116, 39;
 10, 40;
 138, 40;
 204, 40;
 366, 40;
 700, 40;
 705, 40;
 710, 40;
 739, 40;
 768, 40;
 860, 40;
 1078, 40;
 1097, 40;
 1124, 40;
 1140, 40;
 1174, 40;
 1216, 40;
 1246, 40;
 122, 41;
 188, 41;
 884, 41;
 1022, 41;
 1121, 41;
 1136, 41;
 1243, 41;
 1251, 41;
 1258, 41;
 54, 42;
 217, 42;
 375, 42;
 483, 42;
 570, 42;
 601, 42;
 663, 42;
 852, 42;
 972, 42;
 997, 42;
 1017, 42;
 1195, 42;
 16, 43;
 44, 43;
 49, 43;
 239, 43;
 287, 43;
 347, 43;
 565, 43;
 822, 43;
 1177, 43;
 1224, 43;
 1270, 43;
 1273, 43;
 24, 44;
 27, 44;
 94, 44;
 194, 44;
 211, 44;
 259, 44;
 316, 44;
 413, 44;
 451, 44;
 807, 44;
 858, 44;
 898, 44;
 993, 44;
 1040, 44;
 1062, 44;
 1098, 44;
 1213, 44;
 1217, 44;
 1227, 44;
 1231, 44;
 56, 45;
 72, 45;
 161, 45;
 330, 45;
 589, 45;
 654, 45;
 1000, 45;
 1044, 45;
 1068, 45;
 1109, 45;
 1143, 45;
 1150, 45;
 1241, 45;
 1245, 45;
 1256, 45;
 4, 46;
 369, 46;
 403, 46;
 634, 46;
 661, 46;
 687, 46;
 699, 46;
 798, 46;
 894, 46;
 1152, 46;
 1174, 46;
 1248, 46;
 1273, 46;
 18, 47;
 43, 47;
 60, 47;
 80, 47;
 171, 47;
 308, 47;
 567, 47;
 665, 47;
 676, 47;
 883, 47;
 964, 47;
 1020, 47;
 1031, 47;
 1055, 47;
 1077, 47;
 1159, 47;
